año,trimestre,tipo_construccion,estado_constructivo,estrato,ampliacion,licencia,area_zonas_comunes,area_uni_parqueaderos,cantidad_parqueaderos,precio_unitario_parqueadero,sistema_constructivo,mano_obra_permanente,mano_obra_temporal,mano_obra_noremunerada,area_vendible,numero_destinaciones,numero_destinaciones_vendidas,numero_destinaciones_inventario,numero_edificaciones,numero_pisos,precio_metro2_miles,area_total_construida,area_uni_destino,rango_precios_vivienda,usa_concreto_mezcla,usa_concreto_premezcla,unidad_destinaciones_vip,unidad_destinaciones_vis,unidad_destinaciones_novis,precio_mts_millones
2007,3,apartamentos,3,5,Nueva,sin licencia,544,12,44,10000,sistema aporticado,0,0,0,4893,44,0,1,0,0,1837,5437,111,más de 350 smmlv,NA,NA,NA,NA,44,1837000
2007,3,apartamentos,1,5,Nueva,sin licencia,1130,12,88,10000,sistema aporticado,0,0,0,10172,88,0,5,0,0,1837,11302,115,más de 350 smmlv,NA,NA,NA,NA,88,1837000
2007,3,apartamentos,1,5,Nueva,sin licencia,1080,12,49,5200,sistema aporticado,4,55,0,6120,49,0,0,0,0,1300,7200,124,más de 350 smmlv,NA,NA,NA,NA,49,1300000
2007,3,apartamentos,3,3,Nueva,sin licencia,186,NA,NA,NA,sistema aporticado,0,0,0,1054,20,0,0,0,0,900,1240,52,91 - 110 smmlv,NA,NA,NA,20,NA,900000
2007,3,apartamentos,3,3,Nueva,sin licencia,185,12,12,6000,sistema aporticado,0,0,0,1050,10,0,0,0,0,950,1235,105,151 - 350 smmlv,NA,NA,NA,NA,10,950000
2007,3,apartamentos,3,3,Nueva,sin licencia,42,10,3,4000,sistema aporticado,0,0,0,556,3,0,0,0,0,800,598,185,151 - 350 smmlv,NA,NA,NA,NA,3,800000
2007,3,apartamentos,1,3,Nueva,sin licencia,210,10,8,4000,sistema aporticado,0,16,0,1190,8,0,2,0,0,800,1400,148,151 - 350 smmlv,NA,NA,NA,NA,8,800000
2007,3,locales,1,3,Nueva,sin licencia,0,NA,NA,NA,sistema aporticado,0,16,0,28,2,0,1,0,0,900,28,14,más de 350 smmlv,NA,NA,NA,NA,NA,900000
2007,3,locales,1,4,Nueva,sin licencia,42,NA,NA,NA,sistema aporticado,0,10,0,554,15,0,0,0,0,1200,596,36,más de 350 smmlv,NA,NA,NA,NA,NA,1200000
2007,3,oficinas,1,4,Nueva,sin licencia,42,NA,NA,NA,sistema aporticado,0,10,0,554,9,0,0,0,0,900,596,61,más de 350 smmlv,NA,NA,NA,NA,NA,900000
2007,3,otros,3,2,ampliacion,sin licencia,0,NA,NA,NA,sistema aporticado,0,0,0,1020,1,0,0,0,0,600,1020,1020,más de 350 smmlv,NA,NA,NA,NA,NA,600000
2007,3,apartamentos,2,3,Nueva,sin licencia,265,NA,NA,NA,sistema aporticado,0,0,0,1503,8,0,0,0,0,900,1768,187,más de 350 smmlv,NA,NA,NA,NA,8,900000
2007,3,apartamentos,2,3,Nueva,sin licencia,40,NA,NA,NA,sistema aporticado,0,0,0,400,3,0,0,0,0,800,440,133,151 - 350 smmlv,NA,NA,NA,NA,3,800000
2007,3,locales,3,4,Nueva,sin licencia,0,NA,NA,NA,sistema aporticado,0,0,0,48,3,0,0,0,0,900,48,16,más de 350 smmlv,NA,NA,NA,NA,NA,900000
2007,3,apartamentos,3,4,Nueva,sin licencia,46,10,2,1200,sistema aporticado,0,0,0,614,6,0,0,0,0,900,660,102,151 - 350 smmlv,NA,NA,NA,NA,6,900000
2007,3,casas,3,3,Nueva,sin licencia,0,NA,NA,NA,mamposteria aporticada,0,0,0,170,2,0,0,0,0,900,170,85,151 - 350 smmlv,NA,NA,NA,NA,2,900000
2007,3,apartamentos,1,5,Nueva,sin licencia,570,12,60,10000,sistema aporticado,4,50,0,6559,56,2,0,0,0,1800,7129,117,más de 350 smmlv,NA,NA,NA,NA,56,1800000
2007,3,apartamentos,1,5,Nueva,sin licencia,110,10,8,8000,sistema aporticado,0,16,0,890,8,0,0,0,0,1600,1000,111,más de 350 smmlv,NA,NA,NA,NA,8,1600000
2007,3,apartamentos,1,3,ampliacion,sin licencia,18,NA,NA,NA,sistema aporticado,0,2,0,182,2,0,0,0,0,800,200,91,151 - 350 smmlv,NA,NA,NA,NA,2,800000
2007,3,apartamentos,3,5,Nueva,sin licencia,480,12,37,12000,sistema aporticado,0,0,0,3851,30,1,6,0,0,1900,4331,128,más de 350 smmlv,NA,NA,NA,NA,30,1900000
2007,3,otros,3,5,ampliacion,sin licencia,0,NA,NA,NA,sistema aporticado,0,0,0,243,1,0,0,0,0,800,243,243,más de 350 smmlv,NA,NA,NA,NA,NA,800000
2007,3,apartamentos,1,4,Nueva,sin licencia,1800,14,111,10000,estructura metalica,15,100,0,7690,84,8,17,0,0,1500,9490,91,151 - 350 smmlv,NA,NA,NA,NA,84,1500000
2007,3,apartamentos,1,4,Nueva,sin licencia,618,12,77,8500,sistema aporticado,10,60,0,7000,74,0,0,0,0,1700,7618,94,más de 350 smmlv,NA,NA,NA,NA,74,1700000
